id,year,overall_pick,team,player,college,years_active,games,points,total_rebounds,assists,field_goal_percentage,3_point_percentage,free_throw_percentage,points_per_game,average_total_rebounds,average_assists,win_shares,win_shares_per_48_minutes,box_plus_minus,value_over_replacement
681,2001,10,BOS,Joe Johnson,Arkansas,18.0,1277.0,20407.0,5059.0,5001.0,0.441,0.371,0.802,16.0,4.0,3.9,82.9,0.09,0.4,26.5
682,2001,11,BOS,Kedrick Brown,Okaloosa-Walton Community College,4.0,143.0,509.0,347.0,103.0,0.405,0.274,0.64,3.6,2.4,0.7,3.0,0.074,-1.1,0.4
683,2001,12,SEA,Vladimir Radmanović,,12.0,737.0,5879.0,2784.0,998.0,0.415,0.378,0.758,8.0,3.8,1.4,26.5,0.079,-0.1,7.6
684,2001,13,HOU,Richard Jefferson,Arizona,17.0,1181.0,14904.0,4720.0,2412.0,0.464,0.376,0.768,12.6,4.0,2.0,83.0,0.116,0.2,19.4
685,2001,14,GSW,Troy Murphy,Notre Dame,12.0,729.0,7860.0,5708.0,1088.0,0.445,0.388,0.785,10.8,7.8,1.5,50.3,0.121,0.1,10.6
686,2001,15,ORL,Steven Hunter,DePaul,8.0,400.0,1817.0,1264.0,79.0,0.56,0.0,0.485,4.5,3.2,0.2,10.6,0.085,-2.3,-0.5
729,2002,1,HOU,Yao Ming,,8.0,486.0,9247.0,4494.0,769.0,0.524,0.2,0.833,19.0,9.2,1.6,65.9,0.2,3.2,20.7
730,2002,2,CHI,Jay Williams,Duke,1.0,75.0,714.0,195.0,350.0,0.399,0.322,0.64,9.5,2.6,4.7,0.8,0.02,-2.0,0.0
731,2002,3,GSW,Mike Dunleavy,Duke,15.0,986.0,11048.0,4211.0,2185.0,0.441,0.377,0.803,11.2,4.3,2.2,58.5,0.103,0.3,15.7
732,2002,4,MEM,Drew Gooden,Kansas,14.0,790.0,8653.0,5618.0,896.0,0.462,0.257,0.76,11.0,7.1,1.1,43.9,0.105,-1.2,4.3
733,2002,5,DEN,Nikoloz Tskitishvili,,4.0,172.0,507.0,307.0,114.0,0.304,0.235,0.73,2.9,1.8,0.7,-1.6,-0.039,-6.1,-2.0
734,2002,6,CLE,Dajuan Wagner,Memphis,4.0,103.0,964.0,142.0,195.0,0.366,0.321,0.77,9.4,1.4,1.9,0.0,0.0,-4.9,-1.6
735,2002,7,NYK,Nenê,,17.0,965.0,10909.0,5828.0,1719.0,0.548,0.132,0.66,11.3,6.0,1.8,73.3,0.139,1.0,18.8
736,2002,8,LAC,Chris Wilcox,Maryland,11.0,628.0,5150.0,3076.0,455.0,0.541,0.0,0.643,8.2,4.9,0.7,26.9,0.103,-1.6,1.2
737,2002,9,PHO,Amar'e Stoudemire,,14.0,846.0,15994.0,6632.0,1050.0,0.537,0.236,0.761,18.9,7.8,1.2,92.5,0.169,1.3,21.9
738,2002,10,MIA,Caron Butler,UConn,14.0,881.0,12430.0,4387.0,2007.0,0.434,0.348,0.847,14.1,5.0,2.3,50.9,0.086,-0.2,12.6
739,2002,11,WAS,Jared Jeffries,Indiana,11.0,629.0,3003.0,2563.0,798.0,0.426,0.25,0.583,4.8,4.1,1.3,13.1,0.046,-2.4,-1.5
740,2002,12,LAC,Melvin Ely,Fresno State,9.0,375.0,1992.0,1215.0,261.0,0.46,0.0,0.625,5.3,3.2,0.7,4.0,0.032,-4.0,-3.1
741,2002,13,MIL,Marcus Haislip,Tennessee,4.0,89.0,311.0,131.0,16.0,0.437,0.35,0.659,3.5,1.5,0.2,0.5,0.026,-4.7,-0.6
742,2002,14,IND,Fred Jones,Oregon,7.0,430.0,3206.0,958.0,990.0,0.411,0.353,0.809,7.5,2.2,2.3,16.5,0.077,-1.0,2.6
743,2002,15,HOU,Boštjan Nachbar,,6.0,317.0,2252.0,836.0,283.0,0.406,0.375,0.784,7.1,2.6,0.9,8.7,0.074,-1.6,0.6
786,2003,1,CLE,LeBron James,,19.0,1366.0,37062.0,10210.0,10045.0,0.505,0.346,0.734,27.1,7.5,7.4,249.5,0.23,8.9,142.6
787,2003,2,DET,Darko Miličić,,10.0,468.0,2813.0,1971.0,405.0,0.46,0.0,0.574,6.0,4.2,0.9,7.1,0.04,-2.4,-0.9
788,2003,3,DEN,Carmelo Anthony,Syracuse,19.0,1260.0,28289.0,7808.0,3422.0,0.447,0.355,0.814,22.5,6.2,2.7,108.5,0.12,1.3,36.7
789,2003,4,TOR,Chris Bosh,Georgia Tech,13.0,893.0,17189.0,7592.0,1795.0,0.494,0.335,0.799,19.2,8.5,2.0,106.0,0.159,1.9,31.1
790,2003,5,MIA,Dwyane Wade,Marquette,16.0,1054.0,23165.0,4933.0,5701.0,0.48,0.293,0.765,22.0,4.7,5.4,120.7,0.162,5.0,62.8
791,2003,6,LAC,Chris Kaman,Central Michigan University,13.0,735.0,8208.0,5582.0,921.0,0.489,0.042,0.743,11.2,7.6,1.3,24.6,0.06,-1.9,0.4
792,2003,7,CHI,Kirk Hinrich,Kansas,13.0,879.0,9594.0,2576.0,4245.0,0.411,0.375,0.8,10.9,2.9,4.8,52.5,0.093,0.0,13.3
793,2003,8,MIL,T.J. Ford,Texas,8.0,429.0,4797.0,1331.0,2495.0,0.433,0.289,0.815,11.2,3.1,5.8,16.9,0.068,-0.4,4.6
794,2003,9,NYK,Mike Sweetney,Georgetown,4.0,233.0,1516.0,1045.0,145.0,0.485,0.0,0.689,6.5,4.5,0.6,7.8,0.103,-2.7,-0.6
795,2003,10,WAS,Jarvis Hayes,Georgia,7.0,427.0,3553.0,1330.0,459.0,0.415,0.356,0.798,8.3,3.1,1.1,10.2,0.049,-2.5,-1.3
796,2003,11,GSW,Mickaël Piétrus,,10.0,557.0,4629.0,1723.0,445.0,0.425,0.355,0.665,8.3,3.1,0.8,19.7,0.079,-0.9,3.2
797,2003,12,SEA,Nick Collison,Kansas,14.0,910.0,5359.0,4701.0,939.0,0.534,0.208,0.723,5.9,5.2,1.0,44.5,0.115,-1.3,3.1
798,2003,13,MEM,Marcus Banks,UNLV,8.0,348.0,2061.0,519.0,728.0,0.432,0.327,0.768,5.9,1.5,2.1,6.6,0.057,-2.0,-0.1
799,2003,14,SEA,Luke Ridnour,Oregon,12.0,830.0,7740.0,1877.0,3713.0,0.431,0.349,0.862,9.3,2.3,4.5,36.0,0.08,-0.6,7.5
800,2003,15,ORL,Reece Gaines,Louisville,3.0,71.0,123.0,53.0,50.0,0.324,0.269,0.606,1.7,0.7,0.7,-0.6,-0.049,-6.1,-0.6
844,2004,1,ORL,Dwight Howard,,18.0,1242.0,19485.0,14627.0,1676.0,0.587,0.214,0.567,15.7,11.8,1.3,141.7,0.172,1.9,39.0
845,2004,2,CHA,Emeka Okafor,UConn,10.0,616.0,7370.0,5967.0,520.0,0.512,0.0,0.586,12.0,9.7,0.8,45.3,0.114,-0.6,6.8
846,2004,3,CHI,Ben Gordon,UConn,11.0,744.0,11084.0,1851.0,1868.0,0.432,0.401,0.857,14.9,2.5,2.5,33.3,0.078,-0.3,8.7
